GLUT	Hexokinase	HPI	PFK	Aldolase	TPI	GAPDH	PGK	PGAM	Enolase	PYK	LDH	PSA	PSP	SHMT	MCT	DHase	ATPase	PPP	PDH	AK	MPM	SERout	GLYout	TK	PGLM	UPP	GS	GP	PPASE	NDK	
0.000587014	0.000587014	0.00050195	0.000601001	0.000601001	0.000601001	0.00130105	0.00130105	0.000375009	0.000375009	0.000375009	0.000375005	0.000926043	0.000926043	0.000244962	0.000375005	0.000926047	0.000487788	8.50633e-05	0.000926043	-5.77316e-15	3.94629e-09	0.000681082	0.000244962	9.90505e-05	-3.85902e-15	3.10029e-07	3.10029e-07	3.10029e-07	3.10029e-07	3.10029e-07	
0.000725421	0.000725421	0.000637641	0.000736545	0.000736545	0.000736545	0.00157199	0.00157199	0.000358549	0.000358549	0.000358549	0.000358548	0.00121344	0.00121344	0.000518652	0.000358548	0.00121345	0.000468409	8.77796e-05	0.00121344	2.08722e-14	1.40819e-09	0.000694792	0.000518652	9.89036e-05	0	1.85483e-07	1.85483e-07	1.85483e-07	1.85483e-07	1.85483e-07	
0.000776824	0.000776824	0.000702779	0.000799302	0.000799302	0.000799302	0.00169513	0.00169513	0.000464524	0.000464524	0.000464524	0.0004645	0.0012306	0.0012306	0.000853677	0.0004645	0.00123063	0.000583601	7.40451e-05	0.0012306	5.9952e-15	2.37872e-08	0.000376927	0.000853677	9.65234e-05	4.26179e-15	2.33943e-07	2.33943e-07	2.33943e-07	2.33943e-07	2.33943e-07	
0.000424255	0.000424255	0.000345561	0.000440673	0.000440673	0.000440673	0.000976458	0.000976458	0.000310596	0.000310596	0.000310596	0.000310596	0.000665862	0.000665862	0.000217856	0.000310596	0.000665862	0.000422005	7.86934e-05	0.000665862	9.4369e-15	1.18395e-11	0.000448006	0.000217856	9.51116e-05	7.31992e-15	1.20525e-07	1.20525e-07	1.20525e-07	1.20525e-07	1.20525e-07	
0.000846248	0.000846248	0.000703676	0.000820075	0.000820075	0.000820075	0.00175655	0.00175655	0.000390946	0.000390946	0.000390946	0.000390946	0.0013656	0.0013656	0.00082752	0.000390946	0.0013656	0.000481031	0.000142572	0.0013656	-5.21805e-15	1.59552e-10	0.000538084	0.00082752	0.000116399	-4.8807e-15	1.43474e-07	1.43474e-07	1.43474e-07	1.43474e-07	1.43474e-07	
0.00174585	0.00174585	0.00165104	0.00175568	0.00175568	0.00175568	0.00361601	0.00361601	0.000249657	0.000249657	0.000249657	-2.95819e-08	0.00336635	0.00336635	0.00227868	-2.95819e-08	0.00361604	0.00360796	9.48004e-05	0.00336635	-7.10543e-15	0.000249687	0.00108766	0.00227868	0.000104639	5.97399e-15	2.108e-06	2.108e-06	2.108e-06	2.108e-06	2.108e-06	
0.00195487	0.00195487	0.00183848	0.0019405	0.0019405	0.0019405	0.00398303	0.00398303	0.000416677	0.000416677	0.000416677	-1.08975e-07	0.00356636	0.00356636	0.00197047	-1.08975e-07	0.00398314	0.00591669	0.00011639	0.00356636	1.77636e-15	0.000416786	0.00159589	0.00197047	0.000102022	-5.75342e-15	5.85919e-06	5.85919e-06	5.85919e-06	5.85919e-06	5.85919e-06	
0.000739885	0.000739885	0.000659613	0.000753862	0.000753862	0.000753862	0.00160197	0.00160197	0.0003055	0.0003055	0.0003055	0.000305499	0.00129647	0.00129647	0.000976892	0.000305499	0.00129647	0.000413618	8.02719e-05	0.00129647	0	7.73184e-10	0.00031958	0.000976892	9.42489e-05	0	1.18488e-07	1.18488e-07	1.18488e-07	1.18488e-07	1.18488e-07	
0.000375198	0.000375198	0.000299374	0.000394793	0.000394793	0.000394793	0.000885005	0.000885005	0.00022382	0.00022382	0.00022382	0.00022382	0.000661184	0.000661184	0.000256581	0.00022382	0.000661185	0.000338576	7.58238e-05	0.000661184	1.74305e-14	1.10542e-10	0.000404603	0.000256581	9.54186e-05	0	2.58766e-07	2.58766e-07	2.58766e-07	2.58766e-07	2.58766e-07	
0.00014751	0.00014751	-5.58077e-06	8.35654e-05	8.35654e-05	8.35654e-05	0.000256277	0.000256277	8.10552e-05	8.10552e-05	8.10552e-05	8.10552e-05	0.000175222	0.000175222	0.000175531	8.10552e-05	0.000175222	0.000106239	0.000153091	0.000175222	-1.79301e-14	1.29547e-18	-3.09096e-07	0.000175531	8.91462e-05	0	1.73993e-08	1.73993e-08	1.73993e-08	1.73993e-08	1.73993e-08	
0.00216714	0.00216714	0.00204747	0.00214194	0.00214194	0.00214194	0.00437835	0.00437835	0.000205826	0.000205826	0.000205826	-2.86309e-08	0.00417253	0.00417253	0.00211773	-2.86309e-08	0.00437838	0.00295012	0.000119668	0.00417253	3.55271e-15	0.000205854	0.00205479	0.00211773	9.44682e-05	4.03762e-15	1.08564e-06	1.08564e-06	1.08564e-06	1.08564e-06	1.08564e-06	
0.000840198	0.000840198	0.00068444	0.000769426	0.000769426	0.000769426	0.00162384	0.00162384	0.000652132	0.000652132	0.000652132	0.000652127	0.000971708	0.000971708	0.000821355	0.000652127	0.000971712	0.000666327	0.000155758	0.000971708	2.66454e-15	4.25876e-09	0.000150353	0.000821355	8.49865e-05	0	7.51127e-08	7.51127e-08	7.51127e-08	7.51127e-08	7.51127e-08	
